run_id,condition,rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,button_pressed,key_press,StimulusDurationSetting,iTrial,Phase,correctResponse,CharacterResponse,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
1,1,18732.925,"{""Q0"":""A221T10MJY10O6""}",survey-text,0,18769,0.0-0.0,"""","""","""","""","""","""","""","""",11/11/2020 20:27,136.34.173.155,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",WebKit,Chrome,86.0.4240.75,Windows,6.3
1,1,138291.875,"""",image-button-response,1,157086,0.0-1.0,directions.JPG,0,"""","""","""","""","""","""",11/11/2020 20:27,136.34.173.155,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",WebKit,Chrome,86.0.4240.75,Windows,6.3
1,1,23893.4,"""",video-button-response,2,180997,0.0-2.0,"""",0,"""","""","""","""","""","""",11/11/2020 20:27,136.34.173.155,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",WebKit,Chrome,86.0.4240.75,Windows,6.3
1,1,null,"""",html-keyboard-response,3,182011,0.0-3.0,"<div style=""font-size:60px;"">+</div>","""",null,1000,1,ITI,"""","""",11/11/2020 20:27,136.34.173.155,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",WebKit,Chrome,86.0.4240.75,Windows,6.3
1,1,null,"""",image-keyboard-response,4,182273,0.0-4.0,jspsych/scrambledNeutralFaces/scrambledAM17NES.JPG,"""",null,250,1,forwardMask,n,"""",11/11/2020 20:27,136.34.173.155,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",WebKit,Chrome,86.0.4240.75,Windows,6.3
1,1,null,"""",image-keyboard-response,5,182342,0.0-5.0,jspsych/neutralFaces/AM17NES.JPG,"""",null,49,1,Cue,"""","""",11/11/2020 20:27,136.34.173.155,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",WebKit,Chrome,86.0.4240.75,Windows,6.3
1,1,null,"""",image-keyboard-response,6,182450,0.0-6.0,jspsych/neutralFaces/AM02NES.JPG,"""",null,100,1,backwardMask,"""","""",11/11/2020 20:27,136.34.173.155,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",WebKit,Chrome,86.0.4240.75,Windows,6.3
1,1,null,"""",html-keyboard-response,7,182657,0.0-7.0,"<div style=""font-size:60px;"">+</div>","""",null,200,1,fixationBtwnNeutralMaskAndPrompt,"""","""",11/11/2020 20:27,136.34.173.155,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",WebKit,Chrome,86.0.4240.75,Windows,6.3
1,1,1350.465,"""",html-keyboard-response,8,184015,0.0-8.0,"<p> What was the emotion of the hidden face? <br> Press, <b>d</b> for <i>disgust face</i> or <b>n</b> for <i>neutral face</i></p>","""",78,"""",1,Query,"""",n,11/11/2020 20:27,136.34.173.155,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",WebKit,Chrome,86.0.4240.75,Windows,6.3
1,1,null,"""",html-keyboard-response,9,185024,0.0-9.0,"<div style=""font-size:60px;"">+</div>","""",null,1000,2,ITI,"""","""",11/11/2020 20:27,136.34.173.155,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",WebKit,Chrome,86.0.4240.75,Windows,6.3
1,1,null,"""",image-keyboard-response,10,185339,0.0-10.0,jspsych/scrambledDisgustFaces/scrambledAF30DIS.JPG,"""",null,250,2,forwardMask,d,"""",11/11/2020 20:27,136.34.173.155,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",WebKit,Chrome,86.0.4240.75,Windows,6.3
1,1,null,"""",image-keyboard-response,11,185395,0.0-11.0,jspsych/disgustFaces/AF30DIS.JPG,"""",null,49,2,Cue,"""","""",11/11/2020 20:27,136.34.173.155,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",WebKit,Chrome,86.0.4240.75,Windows,6.3
1,1,null,"""",image-keyboard-response,12,185499,0.0-12.0,jspsych/neutralFaces/BF16NES.JPG,"""",null,100,2,backwardMask,"""","""",11/11/2020 20:27,136.34.173.155,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",WebKit,Chrome,86.0.4240.75,Windows,6.3
1,1,null,"""",html-keyboard-response,13,185704,0.0-13.0,"<div style=""font-size:60px;"">+</div>","""",null,200,2,fixationBtwnNeutralMaskAndPrompt,"""","""",11/11/2020 20:27,136.34.173.155,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",WebKit,Chrome,86.0.4240.75,Windows,6.3
1,1,839.785,"""",html-keyboard-response,14,186551,0.0-14.0,"<p> What was the emotion of the hidden face? <br> Press, <b>d</b> for <i>disgust face</i> or <b>n</b> for <i>neutral face</i></p>","""",78,"""",2,Query,"""",n,11/11/2020 20:27,136.34.173.155,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",WebKit,Chrome,86.0.4240.75,Windows,6.3
1,1,null,"""",html-keyboard-response,15,187557,0.0-15.0,"<div style=""font-size:60px;"">+</div>","""",null,1000,3,ITI,"""","""",11/11/2020 20:27,136.34.173.155,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",WebKit,Chrome,86.0.4240.75,Windows,6.3
1,1,null,"""",image-keyboard-response,16,187815,0.0-16.0,jspsych/scrambledNeutralFaces/scrambledBF07NES.JPG,"""",null,250,3,forwardMask,n,"""",11/11/2020 20:27,136.34.173.155,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",WebKit,Chrome,86.0.4240.75,Windows,6.3
1,1,null,"""",image-keyboard-response,17,187902,0.0-17.0,jspsych/neutralFaces/BF07NES.JPG,"""",null,66,3,Cue,"""","""",11/11/2020 20:27,136.34.173.155,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",WebKit,Chrome,86.0.4240.75,Windows,6.3
1,1,null,"""",image-keyboard-response,18,188005,0.0-18.0,jspsych/neutralFaces/BF01NES.JPG,"""",null,100,3,backwardMask,"""","""",11/11/2020 20:27,136.34.173.155,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",WebKit,Chrome,86.0.4240.75,Windows,6.3
1,1,null,"""",html-keyboard-response,19,188236,0.0-19.0,"<div style=""font-size:60px;"">+</div>","""",null,200,3,fixationBtwnNeutralMaskAndPrompt,"""","""",11/11/2020 20:27,136.34.173.155,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",WebKit,Chrome,86.0.4240.75,Windows,6.3
1,1,660.255,"""",html-keyboard-response,20,188906,0.0-20.0,"<p> What was the emotion of the hidden face? <br> Press, <b>d</b> for <i>disgust face</i> or <b>n</b> for <i>neutral face</i></p>","""",78,"""",3,Query,"""",n,11/11/2020 20:27,136.34.173.155,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",WebKit,Chrome,86.0.4240.75,Windows,6.3
1,1,null,"""",html-keyboard-response,21,189916,0.0-21.0,"<div style=""font-size:60px;"">+</div>","""",null,1000,4,ITI,"""","""",11/11/2020 20:27,136.34.173.155,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",WebKit,Chrome,86.0.4240.75,Windows,6.3
